股票,進場日,出場日,進場價,出場價,報酬率,持有天數,結果
9958,2019-09-03,2019-09-10,74.1,74.8,0.94,7,勝利
2548,2019-09-05,2019-09-11,81.0,80.7,-0.37,6,失敗
2029,2019-09-10,2019-09-18,19.9,20.05,0.75,8,勝利
6176,2019-09-10,2019-09-18,119.0,124.0,4.2,8,勝利
9938,2019-09-10,2019-09-11,84.9,84.5,-0.47,1,失敗
2383,2019-09-11,2019-09-12,130.0,136.0,4.62,1,勝利
3665,2019-09-11,2019-09-17,227.0,218.0,-3.96,6,失敗
3669,2019-09-11,2019-09-12,17.65,17.85,1.13,1,勝利
5607,2019-09-11,2019-09-12,21.75,21.25,-2.3,1,失敗
2362,2019-09-12,2019-09-16,30.75,30.9,0.49,4,勝利
1308,2019-09-16,2019-09-17,15.25,15.2,-0.33,1,失敗
1410,2019-09-17,2019-09-19,26.5,26.35,-0.57,2,失敗
1514,2019-09-17,2019-09-24,18.15,17.5,-3.58,7,失敗
1215,2019-09-18,2019-09-19,66.8,65.8,-1.5,1,失敗
1437,2019-09-18,2019-09-24,23.05,23.0,-0.22,6,失敗
2545,2019-09-18,2019-09-19,30.8,30.75,-0.16,1,失敗
9924,2019-09-18,2019-09-20,45.65,45.1,-1.2,2,失敗
3653,2019-09-19,2019-09-20,142.0,143.0,0.7,1,勝利
6431,2019-09-19,2019-09-26,26.35,26.95,2.28,7,勝利
8261,2019-09-19,2019-09-25,29.2,28.55,-2.23,6,失敗
2548,2019-09-20,2019-09-23,80.4,80.5,0.12,3,勝利
2401,2019-09-23,2019-09-25,14.25,13.9,-2.46,2,失敗
2462,2019-09-24,2019-09-25,31.7,30.7,-3.15,1,失敗
